istaigos_kodas;gydytojo_ID;data_nuo;data_iki;iraso_sukurimo_data
124246043;12273;2024-05-02;2024-05-13;2024-04-26 03:00
124246043;13915;2024-05-13;2024-05-31;2024-04-26 03:00
124246043;15196;2024-05-06;2024-05-10;2024-04-26 03:00
124246043;15461;2024-05-02;2024-05-03;2024-04-26 03:00
124246043;19037;2024-04-15;2024-04-29;2024-04-26 03:00
124246043;19043;2024-05-16;2024-05-22;2024-04-26 03:00
124246043;19054;2024-04-22;2024-05-03;2024-04-26 03:00
124246043;19054;2024-05-06;2024-05-07;2024-04-26 03:00
124246043;19206;2024-04-24;2024-05-03;2024-04-26 03:00
124246043;19206;2024-05-06;2024-05-07;2024-04-26 03:00
124246043;19886;2024-04-22;2024-05-03;2024-04-26 03:00
124246043;19886;2024-05-10;2024-05-20;2024-04-26 03:00
124246043;21184;2024-04-25;2024-05-07;2024-04-26 03:00
124246043;21184;2024-05-14;2024-05-14;2024-04-26 03:00
124246043;21184;2024-05-24;2024-06-03;2024-04-26 03:00
124246043;21698;2024-05-06;2024-05-24;2024-04-26 03:00
124246043;22290;2024-05-13;2024-05-31;2024-04-26 03:00
124246043;24988;2024-04-29;2024-05-06;2024-04-26 03:00
124246043;24988;2024-05-08;2024-05-08;2024-04-26 03:00
124246043;26275;2024-05-06;2024-05-07;2024-04-26 03:00
124246043;30333;2024-05-20;2024-05-31;2024-04-26 03:00
124246043;30638;2024-04-29;2024-05-03;2024-04-26 03:00
124246043;31123;2024-04-26;2024-04-26;2024-04-26 03:00
124246043;31123;2024-05-09;2024-05-09;2024-04-26 03:00
124246043;31123;2024-05-17;2024-05-17;2024-04-26 03:00
124246043;31123;2024-05-23;2024-05-23;2024-04-26 03:00
124246043;31123;2024-05-24;2024-05-31;2024-04-26 03:00
124246043;32457;2024-05-06;2024-05-07;2024-04-26 03:00
124246043;33676;2024-04-29;2024-05-03;2024-04-26 03:00
124246043;33676;2024-05-23;2024-05-23;2024-04-26 03:00
124246043;36513;2024-05-06;2024-05-07;2024-04-26 03:00
